variant,N,instructions,cycles,ipc,uops_per_cycle
affine_notile,256,14100,8020,1.76,2.02
affine_tile16,256,20300,11246,1.81,2.05
affine_tile64,256,20300,11246,1.81,2.05
vector_tile16,256,44700,22552,1.98,2.20
affine_notile,512,14100,8020,1.76,2.02
affine_tile16,512,20300,11246,1.81,2.05
affine_tile64,512,20300,11246,1.81,2.05
vector_tile16,512,44700,22552,1.98,2.20
affine_notile,1024,14100,8020,1.76,2.02
affine_tile16,1024,20300,11246,1.81,2.05
affine_tile64,1024,20300,11246,1.81,2.05
vector_tile16,1024,44700,22552,1.98,2.20
