size_N,tile_T,time_mean_s,time_stddev_s
128,16,0.0002324175,0.0000378997
128,32,0.0001865706,0.0000082644
128,64,0.0008253432,0.0000035777
256,16,0.0014052435,0.0000227106
256,32,0.0012831698,0.0000282768
256,64,0.0051353933,0.0000562848
256,128,0.0077606559,0.0000427476
512,16,0.0101538174,0.0001113716
512,32,0.0093482700,0.0002472833
512,64,0.0592981382,0.0004239406
512,128,0.0782789700,0.0006388687
512,256,0.0867033495,0.0012681244
1024,16,0.1045140991,0.0008838286
1024,32,0.0875450853,0.0004687683
1024,64,0.6401329530,0.0028422707
1024,128,0.9577039287,0.0039434539
1024,256,0.8508934473,0.0054265905
