size_N,path,tile_T,time_mean_s,time_stddev_s
128,affine,none,0.08301576912000001,0.009549005009783342
128,scf,none,0.08035254098,0.009190701900095842
128,affine_tiled,16,0.16588617236000003,0.014925789077672494
256,affine,none,0.11259586172,0.010244236257583349
256,scf,none,0.16781196496,0.051133792904101305
256,affine_tiled,16,0.15539970426000002,0.007419319884771438
512,affine,none,0.4666892893000001,0.09813940522700941
512,scf,none,0.36778240001999996,0.033243374579201485
512,affine_tiled,16,0.17363350910000003,0.02043820630022737
1024,affine,none,2.2875799607,1.6492281134733462
1024,scf,none,0.9977845649599999,0.020788831985309498
1024,affine_tiled,16,0.15829317344,0.015576137041710614
