size_N,variant,time_mean_s,time_stddev_s,gflops
128,mlir_affine_t16,0.0002222208,0.0000044142,18.87
128,mlir_vector_t16,0.0005761346,0.0000051074,7.28
128,mlir_vector_interchange_t16,0.0005715186,0.0000079746,7.34
128,accelerate_blas,0.0000324735,0.0000044795,129.16
256,mlir_affine_t16,0.0014918484,0.0000509169,22.49
256,mlir_vector_t16,0.0043737800,0.0002201211,7.67
256,mlir_vector_interchange_t16,0.0046944969,0.0005261911,7.15
256,accelerate_blas,0.0001800379,0.0000243791,186.37
512,mlir_affine_t16,0.0123605502,0.0027938193,21.72
512,mlir_vector_t16,0.0340681194,0.0004665181,7.88
512,mlir_vector_interchange_t16,0.0370905583,0.0057947922,7.24
512,accelerate_blas,0.0011712286,0.0001930845,229.19
1024,mlir_affine_t16,0.1157959362,0.0101554099,18.55
1024,mlir_vector_t16,0.2748854101,0.0048437816,7.81
1024,mlir_vector_interchange_t16,0.2725822405,0.0046607949,7.88
1024,accelerate_blas,0.0068577131,0.0001972722,313.15
