size_N,path,tile_T,time_mean_s,time_stddev_s
128,affine_tiled,16,0.0002181913,0.0000043581
128,vec_gather,16,0.0005546513,0.0000088379
128,vec_interchange,16,0.0005529617,0.0000028999
128,vec_inbounds,16,0.0002139206,0.0000050972
256,affine_tiled,16,0.0014556297,0.0000244399
256,vec_gather,16,0.0041216932,0.0000272235
256,vec_interchange,16,0.0042879734,0.0002728658
256,vec_inbounds,16,0.0016752041,0.0007854739
512,affine_tiled,16,0.0090064229,0.0000662726
512,vec_gather,16,0.0309672851,0.0000516616
512,vec_interchange,16,0.0309531150,0.0000921188
512,vec_inbounds,16,0.0110497262,0.0000742150
1024,affine_tiled,16,0.1007527391,0.0017260875
1024,vec_gather,16,0.2544743029,0.0016726436
1024,vec_interchange,16,0.2552220833,0.0015911707
1024,vec_inbounds,16,0.1076121796,0.0021784279
